type,nr,localized_name,api_name,unoconv,extensions,flags
text,1,OpenOffice.org 1.0 Text Document,StarOffice XML (Writer),sxw,sxw,IMPORT EXPORT TEMPLATE OWN ALIEN PREFERED
text,2,StarWriter 4.0,StarWriter 4.0,sdw4,sdw,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
text,3,HTML Document (OpenOffice.org Writer),HTML (StarWriter),html,html,IMPORT EXPORT ALIEN ASYNCHRON
text,4,StarWriter 3.0 Template,StarWriter 3.0 Vorlage/Template,vor3,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
text,5,StarWriter 4.0 Template,StarWriter 4.0 Vorlage/Template,vor4,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
text,6,StarWriter 5.0 Template,StarWriter 5.0 Vorlage/Template,vor,vor,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN 3RDPARTYFILTER
text,7,Microsoft Word 95 Template,MS Word 95 Vorlage,,dot,IMPORT TEMPLATE TEMPLATEPATH ALIEN
text,8,Microsoft Word 97/2000/XP Template,MS Word 97 Vorlage,,dot,IMPORT TEMPLATE TEMPLATEPATH ALIEN
text,9,OpenOffice.org 1.0 Text Document Template,writer_StarOffice_XML_Writer_Template,stw,stw,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN
text,10,ODF Text Document,writer8,odt,odt,IMPORT EXPORT TEMPLATE OWN DEFAULT PREFERED
text,11,Microsoft Word 2003 XML,MS Word 2003 XML,ooxml,docx docm xml,IMPORT EXPORT ALIEN 3RDPARTYFILTER
text,12,Microsoft Excel 95 (OpenOffice.org Writer),MS Excel 95 (StarWriter),,,IMPORT ALIEN NOTINFILEDIALOG NOTINCHOOSER 3RDPARTYFILTER
text,13,Lotus 1-2-3 1.0 WIN (OpenOffice.org Writer),Lotus 1-2-3 1.0 (WIN) (StarWriter),,,IMPORT ALIEN NOTINFILEDIALOG NOTINCHOOSER 3RDPARTYFILTER
text,14,Lotus 1-2-3 1.0 DOS (OpenOffice.org Writer),Lotus 1-2-3 1.0 (DOS) (StarWriter),,,IMPORT ALIEN NOTINFILEDIALOG NOTINCHOOSER 3RDPARTYFILTER
text,15,WordPerfect Document,WordPerfect,,,IMPORT ALIEN USESOPTIONS 3RDPARTYFILTER PREFERED
text,16,Rich Text Format,Rich Text Format,rtf,rtf,IMPORT EXPORT ALIEN PREFERED
text,17,StarWriter 1.0,StarWriter 1.0,,,IMPORT ALIEN 3RDPARTYFILTER
text,18,PDF - Portable Document Format,writer_pdf_Export,pdf,pdf,EXPORT ALIEN 3RDPARTYFILTER
text,19,Microsoft Word 2007 XML Template,MS Word 2007 XML Template,,dotx dotm,IMPORT TEMPLATE TEMPLATEPATH ALIEN 3RDPARTYFILTER
text,20,StarWriter 3.0,StarWriter 3.0,sdw3,sdw,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
text,21,ODF Text Document Template,writer8_template,ott,ott,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN
text,22,BibTeX,BibTeX_Writer,bib,bib,EXPORT ALIEN 3RDPARTYFILTER
